Coordinates,Name,Type,Address,Opening Hours,Cuisine_1,Cuisine_2,Street,Bezirk,PLZ
"[52.45481, 13.59031]",Ihr Koch on Tour,Restaurant,Seelenbinderstraße 112 Köpenick 12555 Berlin,Wed-Sat: 17:00 - 22:30 Sun: 14:00 - 19:00,German,,Seelenbinderstraße 112,Köpenick,12555
"[52.45481, 13.59031]",Pizzawerkköpenick,Restaurant,Seelenbinderstraße 112 Köpenick 12555 Berlin,,Pizza,Burgers,Seelenbinderstraße 112,Köpenick,12555
"[52.45481, 13.59031]",Pizzawerk,Restaurant,Seelenbinderstraße 112 Köpenick 12555 Berlin,Tue-Sun: 17:00 - 22:00,Pizza,,Seelenbinderstraße 112,Köpenick,12555
"[52.45268, 13.59594]",Veracruz,Restaurant,Fürstenwalder Damm 260 Friedrichshagen 12587 Berlin,"Mon-Thu, Sun: 12:00 - 23:00 Fri, Sat: 12:00 - 00:00",Mexican,,Fürstenwalder Damm 260,Friedrichshagen,12587
"[52.44842, 13.61015]",Marina Sol,Restaurant,Müggelseedamm 70 Friedrichshagen 12587 Berlin,Mon-Sun: 12:00 - 22:00,Balkan,Grill,Müggelseedamm 70,Friedrichshagen,12587
"[52.44842, 13.61015]",Windrose,Restaurant,Müggelseedamm 70 Friedrichshagen 12587 Berlin,Mon-Fri: 12:00 - 22:00,German,,Müggelseedamm 70,Friedrichshagen,12587
"[52.44606, 13.58552]",Pier 44,Restaurant,Wendenschloßstraße 60D Köpenick 12559 Berlin,Mon-Sun: 11:00 - 23:00,Seafood,German,Wendenschloßstraße 60D,Köpenick,12559
"[52.44759, 13.59188]",Taj Mahal Haus Köpenick,Snacks/Fast food,Wendenschloßstraße 12 Köpenick 12559 Berlin,Mon-Sun: 11:00 - 22:00,Pizza,Asian,Wendenschloßstraße 12,Köpenick,12559
"[52.46229, 13.58212]",Tasty Waffle,Restaurant,Mahlsdorfer Straße 97E Köpenick 12555 Berlin,Mon-Fri: 07:00 - 21:00 Sat: 11:00 - 17:00 Sun: 11:00 - 18:00,,,Mahlsdorfer Straße 97E,Köpenick,12555
"[52.45521, 13.58288]",Café Hdjk,"Theatre, Music & Culture",Seelenbinderstraße 54 Köpenick 12555 Berlin,,,,Seelenbinderstraße 54,Köpenick,12555
"[52.44857, 13.59291]",TSV Eiche Köpenick,Sport Facility/Venue,Wendenschloßstraße 6 Köpenick 12559 Berlin,,,,Wendenschloßstraße 6,Köpenick,12559
"[52.44759, 13.59188]",Aao Ji,Restaurant,Wendenschloßstraße 12 Köpenick 12559 Berlin,Mon-Sun: 11:30 - 23:00,Asian,Indian,Wendenschloßstraße 12,Köpenick,12559
"[52.44732, 13.57702]",El Loco,Restaurant,Freiheit 5 Köpenick 12555 Berlin,Mon-Sun: 16:00 - 21:00,American,American - Southwestern,Freiheit 5,Köpenick,12555
"[52.460007, 13.611314]",Gaststatte Vereinsheim Erpetal,Restaurant,Duftgeranienweg 40 Friedrichshagen 12587 Berlin,Wed-Fri: 17:00 - 22:00 Sat: 11:00 - 23:00 Sun: 09:00 - 22:00,German,,Duftgeranienweg 40,Friedrichshagen,12587
