,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
0,Bring Bakery,8.0,18,10.0,0.0,0,30,breakfast/dessert,Beusselstraße 31,10115,Berlin,52.5303002,13.3288544,lieferando
1,Sushi Yana,7.4,3727,20.0,0.0,971,40,asian,Waldstraße 1,10115,Berlin,52.5274316,13.3309139,lieferando
2,Funa Sushi,9.2,8288,12.9,0.0,1188,50,asian,Alt-Moabit 73a,10115,Berlin,52.52414,13.33285,lieferando
3,Ossaka Sushi,8.8,5713,20.0,0.0,1178,30,asian,Beusselstraße 72,10115,Berlin,52.5282318,13.3283754,lieferando
4,Chainone,8.4,82,20.0,2.0,0,30,italian,Gotzkowskystraße 24,10115,Berlin,52.5244728,13.330153,lieferando
5,HOA SUSHI,9.2,971,10.0,0.0,1324,30,asian,Turmstraße 53,10115,Berlin,52.5273113,13.3313851,lieferando
6,Ajwa Restaurant,9.6,1128,15.0,0.0,1060,40,indian,Bochumer Straße 5 rechts,10115,Berlin,52.5240686,13.3376894,lieferando
7,Rosario Steakhaus & Pizzeria,8.6,9116,25.0,0.0,1082,30,italian,Gotzkowskystr. 35,10115,Berlin,52.5263307,13.330412,lieferando
8,City Chicken 1,8.8,547,30.0,2.0,0,30,american,Huttenstraße 71,10115,Berlin,52.526944,13.3276049,lieferando
9,Darbar Indische Spezialitäten,7.8,760,18.0,0.0,1255,50,indian,Wiclefstraße 42,10115,Berlin,52.5307893,13.3307873,lieferando
10,Hoa Nam Asia Wok-Sushi Bar,9.0,2712,18.0,0.0,818,30,asian,Wilsnacker Str. 22,10115,Berlin,52.5291219,13.3515039,lieferando
11,Call to Eat,9.2,2551,20.0,0.0,1030,30,italian,Sickingenstrasse 56,10115,Berlin,52.53041,13.31621,lieferando
12,Der Everest Indisch & Nepalesiches Restaurant,8.2,656,14.9,1.0,1189,50,indian,Turmstraße 17,10115,Berlin,52.5264636,13.3493792,lieferando
13,90's Burger,8.2,1002,15.0,1.0,679,40,american,Alt Moabit 40,10115,Berlin,52.5245142,13.3329967,lieferando
14,Pizzeria Mini Perle,7.6,912,13.0,0.0,825,30,italian,Perleberger Str. 53,10115,Berlin,52.5315974,13.3490692,lieferando
15,BURGER KING ®,3.8,782,10.0,1.99,974,35,american,Europaplatz 1,10115,Berlin,52.5249111,13.369492,lieferando
16,Beirut Express Libanesische Spezialitäten,7.8,111,10.0,2.0,0,50,asian,Huttenstraße 72,10115,Berlin,52.5272978,13.3281416,lieferando
17,90's Pizza,8.2,216,15.0,1.0,0,50,italian,Alt-Moabit 73A,10115,Berlin,52.52414,13.33285,lieferando
18,Safran Berlin,9.0,15509,10.0,0.0,1368,50,indian,Brüsseler Straße 17,10115,Berlin,52.5467301,13.3492476,lieferando
19,Smile,9.4,770,15.0,0.0,750,40,asian,Alt-Moabit 112,10115,Berlin,52.5238933,13.3519608,lieferando
20,Butt's Spicy Kitchen Indian Cuisine (Halal),8.8,1579,24.9,0.0,1060,40,indian,Föhrer Straße - rechts 10,10115,Berlin,52.541624,13.3489217,lieferando
21,geh Veg,9.8,93,10.0,2.99,670,30,american,Triftstraße 37,10115,Berlin,52.5418249,13.3504687,lieferando
22,Xigon 1987,9.0,322,28.0,0.0,0,40,asian,Nürnberger Straße 46,10115,Berlin,52.5005244,13.3369203,lieferando
23,Don Giovanni,8.0,369,15.0,1.0,909,30,italian,Werftstraße 21,10115,Berlin,52.5228427,13.3595817,lieferando
24,Dao Nguyen Asia - Sushi,8.4,1962,50.0,2.0,928,40,asian,Kaiserin Augusta Allee 85,10115,Berlin,52.5255274,13.3078462,lieferando
25,Sushi For You,9.0,257,7.0,0.0,0,30,asian,Brüsseler Straße 52a,10115,Berlin,52.54868,13.35316,lieferando
26,Pizza De Lux Berlin,9.2,189,13.5,0.0,772,30,italian,Luxemburgerstraße 32,10115,Berlin,52.5456681,13.3584539,lieferando
27,Pizza & Pasta Karamel's,8.6,244,25.0,3.0,944,40,italian,Otto-Suhr-Allee 106b,10115,Berlin,52.5177575,13.3072377,lieferando
28,Leo Leo,8.6,1845,18.0,0.0,884,40,american,Müllerstraße 25,10115,Berlin,52.5460914,13.3603121,lieferando
29,Moccachino,9.2,197,15.0,0.0,987,30,italian,Müllerstraße 44-45,10115,Berlin,52.551296,13.3511256,lieferando
30,India's Spicy Tarka,8.4,316,24.9,0.0,1059,25,indian,"Föhrer Strasse, rechts 10",10115,Berlin,52.545175,13.351628,lieferando
31,Pizza Dundun,8.6,5560,12.0,1.0,764,35,italian,Triftstr. 1,10115,Berlin,52.5447756,13.3610642,lieferando
32,Berlin Burrito,8.8,2389,12.0,0.0,890,40,vegetarian or vegan,Kastanienallee 59,10115,Berlin,52.5337482,13.4052141,lieferando
33,Soul Sushi,9.0,110,9.9,0.0,0,30,asian,Oranienburger Straße 52,10115,Berlin,52.5259259,13.38825,lieferando
