restaurant_name,platform,reviews,avg_review_score,street,zip_code,city,latitude,longitude,type_of_cuisine,avg_delivery_time,pricyness,delivery_fee,minimum_order_value
Funa Sushi Zehlendorf,lieferando,94,4.7,Brümmerstraße 40,14199,Berlin,52.4532141,13.2864961,"['sushi_51', 'asian_1864', 'poke-bowl_2318']",40,0,0,990
Bowlicious,lieferando,64,4.1,Meerscheidtstr. 4,14199,Berlin,52.5092104,13.2801693,"['vegetarian_391', 'japanese_551', 'asian_1864']",45,0,0,1500
SL Pizza Felice,lieferando,69,3.8,Leipziger Straße 58,14199,Berlin,52.51133,13.39702,"['italian-pizza_271', 'pasta_1614', 'falafel_1215']",25,0,150,3500
Nampan Restaurant,lieferando,205,4.5,Oranienburger Straße 66,14199,Berlin,52.5250277,13.3916776,"['sushi_51', 'japanese_551', 'vietnamese_261']",40,0,290,7500
Miu Sushi,lieferando,2107,4.8,Eisenacher Straße 80,14199,Berlin,52.4889816,13.3499362,"['sushi_51', 'asian_1864', 'poke-bowl_2318']",50,1144,0,2000
Sushi Yana,lieferando,2582,4.3,Lietzenburger Straße 29,14199,Berlin,52.4989812,13.335613,"['sushi_51', 'japanese_551', 'asian_1864']",30,972,0,1500
AsiaLand,lieferando,0,0.0,Augsburger Straße 29,14199,Berlin,52.5013194,13.3344323,"['sushi_51', 'japanese_551', 'asian_1864']",50,0,0,3000
fastVegan by Levo & Lori,lieferando,150,3.9,Martin-Luther-Straße 41,14199,Berlin,52.4936537,13.3458766,"['italian-pizza_271', 'vegetarian_391', 'pasta_1614']",40,0,500,1000
Apna Virsa,lieferando,86,4.4,Gustav-Müller-Straße 1,14199,Berlin,52.485443,13.3622971,"['indian_71', 'chicken_231', 'soup_1406']",40,0,200,2000
Hamdibaba,lieferando,3,5.0,Hauptstraße 159,14199,Berlin,52.4898136,13.3602157,"['italian-pizza_271', 'falafel_1215', 'doener_821']",35,0,0,2500
Pizza Luna,lieferando,5360,4.3,Martin-Luther-Str. 21,14199,Berlin,52.4975441,13.3464952,"['italian-pizza_271', 'italian_21', 'snacks_201']",40,1139,300,3000
Gambino Lieferservice,lieferando,6220,4.4,Bundesallee 186-187 Hs.nr.,14199,Berlin,52.489016,13.3314211,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",30,1504,100,1690
Crispy's Chicken,lieferando,611,4.0,Hauptstraße 149,14199,Berlin,52.487888,13.3583794,"['burgers_541', 'american_381', 'chicken_231']",40,0,0,1750
Pizza Carino - italienische Küche,lieferando,86,4.9,Hohenzollerndamm 11,14199,Berlin,52.4949639,13.3260311,"['italian-pizza_271', 'italian_21', 'pasta_1614']",30,0,0,3000
Sushi Nami Schöneberg,lieferando,370,4.4,Grunewaldstraße 39,14199,Berlin,52.4893693,13.3446888,"['sushi_51', 'asian_1864', 'poke-bowl_2318']",30,0,0,890
OToTO,lieferando,693,4.2,Grunewaldstraße 39,14199,Berlin,52.4893693,13.3446888,"['sushi_51', 'asian_1864', 'poke-bowl_2318']",30,0,0,890
Kebab House,lieferando,139,2.8,Bülowstraße 1-3,14199,Berlin,52.4989241,13.3553525,"['doener_821', 'turkish_31', 'falafel_1256']",40,703,0,1000
Pizzeria Tarantella,lieferando,1641,3.9,Grunewaldstraße 35,14199,Berlin,52.4893357,13.3463268,"['italian-pizza_271', 'pasta_1614', 'falafel_1215']",35,1111,200,2000
Ohanami Sushi & More,lieferando,3777,4.6,Martin-Luther-Straße 47,14199,Berlin,52.4927526,13.3456038,"['sushi_51', 'asian_1864', 'vietnamese_261']",30,1113,0,2990
Bahar Restaurant,lieferando,46,3.8,Hauptstraße 112,14199,Berlin,52.4815016,13.3482676,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",30,0,150,1400
Dildaar Indische Spezialitäten,lieferando,6548,4.3,Landsberger Allee 171,14199,Berlin,52.5318293,13.469589,"['indian_71', 'curry_731', 'lunch_351']",40,1168,0,2200
Lon Men,lieferando,18892,4.1,Bamberger Straße 30,14199,Berlin,52.4884322,13.3365507,"['chinese_41', 'falafel_1215', 'asian_1864']",30,911,0,1500
Shawarma One,lieferando,1247,4.2,Hauptstraße 113-115,14199,Berlin,52.4818212,13.3491987,"['burgers_541', 'vegetarian_391', 'lebanese_491']",40,833,50,1500
Taj Mahal Haus 3,lieferando,1042,4.5,Hauptstraße 54,14199,Berlin,52.4812756,13.3472078,"['italian-pizza_271', 'indian_71', 'curry_731']",40,0,0,1500
Tasty Burger Brothers,lieferando,362,4.3,Bamberger Straße 7,14199,Berlin,52.496171,13.3370072,"['burgers_541', 'drinks-and-snacks_661']",30,0,0,1500
Sushi TB Alaska,lieferando,27,4.1,Schmiljanstraße 4,14199,Berlin,52.4705927,13.3294952,"['sushi_51', 'chinese_41', 'soup_1406']",40,0,0,1500
Mille Gusti,lieferando,1145,4.8,Brandenburgische Str. 78,14199,Berlin,52.4877756,13.3179478,"['italian-pizza_271', 'pasta_1614', 'salads_1456']",30,0,150,1500
Burger City,lieferando,445,4.4,Lietzenburger Straße 77,14199,Berlin,52.499729,13.3243961,"['burgers_541', 'vegetarian_391', '100-halal_921']",30,0,0,1190
bundesburger,lieferando,1229,4.0,Bundesallee 199,14199,Berlin,52.49257,13.33137,"['burgers_541', 'fries_1734', 'snacks_201']",30,0,100,1200
Pizza & Burger Bulls,lieferando,1051,3.9,Hohenstaufenstraße 40,14199,Berlin,52.49431,13.33926,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",40,1034,0,1200
Papa Grill - Libanesischer Holzkohlegrill,lieferando,424,4.4,Feurigstraße 39,14199,Berlin,52.4815079,13.3499389,"['burgers_541', '100-halal_921', 'arab_1246']",60,1385,0,1500
027 ~ Not Your Ordinary Kebab,lieferando,418,4.3,Kantstraße 143,14199,Berlin,52.5057239,13.3205023,"['doener_821', '100-halal_921', 'poke-bowl_2318']",50,1670,200,1600
Ayu Sushi,lieferando,932,5.0,Bornstraße 7,14199,Berlin,52.4657334,13.3252849,"['sushi_51', 'japanese_551', 'asian_1864']",40,0,0,990
SL West Burger Grill,lieferando,506,4.4,Uhlandstraße 137,14199,Berlin,52.4934475,13.3239325,"['burgers_541', 'falafel_1215', 'spare-ribs_121']",40,1440,300,4500
Sushi - T. Phu,lieferando,7689,4.8,Berliner Str. 5,14199,Berlin,52.4879285,13.3339462,"['sushi_51', 'japanese_551']",30,1236,0,2000
Getränke Bärlin,lieferando,30,5.0,Hohenzollerndamm 197,14199,Berlin,52.493582,13.3242397,"['drinks-and-snacks_661', 'ice-cream_1194']",20,0,0,2500
Com Dai Dung - Japanische Spezialitäten,lieferando,1144,3.8,Grunewaldstr. 54,14199,Berlin,52.4881688,13.3377084,"['sushi_51', 'thai_61', 'vietnamese_261']",45,986,0,1200
Bobsek Burger,lieferando,5786,4.9,Berliner Straße 30,14199,Berlin,52.486684,13.3234169,"['burgers_541', 'american_381', 'snacks_201']",30,919,100,1490
Keyfi Sefa by The Meat,lieferando,5,4.7,Altonaer Straße 20,14199,Berlin,52.5185412,13.3414995,"['sushi_51', 'vegetarian_391', 'falafel_1215']",40,0,290,2900
1ASUSHI OHSAKE,lieferando,1636,5.0,Uhlandstr. 145,14199,Berlin,52.4959251,13.3243326,"['sushi_51', 'japanese_551', 'poke-bowl_2318']",30,1192,0,3000
Burger Now,lieferando,1708,4.5,Fasanenstraße 14,14199,Berlin,52.5046373,13.3274203,"['burgers_541', 'falafel_1215', 'wrap_1416']",30,686,0,1690
Chainone,lieferando,82,4.2,Gotzkowskystraße 24,14199,Berlin,52.5244728,13.330153,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",30,0,250,3990
Kazoku Berlin,lieferando,2166,4.8,Wegenerstraße 6,14199,Berlin,52.4894844,13.3169015,"['sushi_51', 'japanese_551', 'asian_1864']",40,979,0,1500
Golden Cut Burger & Vegan,lieferando,224,3.7,Cuxhavener Straße 12,14199,Berlin,52.518285,13.3377447,"['burgers_541', 'american_381', 'falafel_1215']",90,0,190,1990
Mamma Mia,lieferando,3304,3.7,Sprengelstraße 42,14199,Berlin,52.5421856,13.3577109,"['italian-pizza_271', 'burgers_541', 'pasta_1614']",25,898,300,1500
At Omar's,lieferando,2606,4.9,Uhlandstr. 142,14199,Berlin,52.4949189,13.3242146,"['falafel_1215', 'falafel_1256', 'syrian_2438']",40,962,150,1200
Fancy Burger meets Vegan,lieferando,2219,4.5,Wilmersdorfer Straße 133,14199,Berlin,52.5108669,13.3058606,"['burgers_541', 'american_381', 'falafel_1215']",40,1000,190,1990
Fusion 137,lieferando,175,4.5,Uhlandstraße 106a,14199,Berlin,52.48805,13.32294,"['italian-pizza_271', 'burgers_541', 'falafel_1215']",30,0,300,6000
Café Kardamom,lieferando,37,4.4,Badensche Straße 55,14199,Berlin,52.4854547,13.3401893,"['italian-pizza_271', 'salads_1456', 'sandwiches_671']",40,0,0,1600
Sunny Burrito,lieferando,82,4.7,Berliner Straße 141,14199,Berlin,52.4863367,13.3241868,"['mexican_221', 'american_381', 'falafel_1215']",30,0,0,1200
Stay Healthy,lieferando,120,4.9,Berliner Straße 136,14199,Berlin,52.4862741,13.3231045,"['falafel_1215', 'sandwiches_671', 'poke-bowl_2318']",40,0,0,1000
Taj India Haus,lieferando,1214,4.5,Stuttgarter Platz 16,14199,Berlin,52.505275,13.3010598,"['italian-pizza_271', 'vegetarian_391', 'indian_71']",50,0,0,1200
Spice India,lieferando,1389,4.4,Uhlandstraße 161,14199,Berlin,52.4992243,13.3251089,"['vegetarian_391', 'indian_71', 'asian_1864']",40,1544,0,2500
Saiko Sushi,lieferando,1381,4.8,Klingsorstraße 19,14199,Berlin,52.45139,13.32995,"['sushi_51', 'japanese_551', 'asian_1864']",30,0,0,990
Sushi EM,lieferando,3202,4.3,Emser Straße 25,14199,Berlin-Wilmersdorf,52.4972417,13.3204219,"['sushi_51', 'japanese_551', 'poke-bowl_2318']",50,1172,0,1500
Bao An,lieferando,2312,4.1,Berliner Straße 17,14199,Berlin,52.48715,13.32801,"['sushi_51', 'vegetarian_391', 'vietnamese_261']",30,1046,0,1700
Safran Berlin,lieferando,15501,4.4,Brüsseler Straße 17,14199,Berlin,52.5467301,13.3492476,['indian_71'],50,1368,0,2500
