,restaurant_name,type,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,opening_hours,database
0,Ihr Koch on Tour,Restaurant,european,Seelenbinderstraße 112 Köpenick 12555 Berlin,Seelenbinderstraße 112,12555,Köpenick,"52.45481, 13.59031",52.45481,13.59031,Wed-Sat: 17:00 - 22:30 Sun: 14:00 - 19:00,here_maps
1,Pizzawerkköpenick,Restaurant,italian,Seelenbinderstraße 112 Köpenick 12555 Berlin,Seelenbinderstraße 112,12555,Köpenick,"52.45481, 13.59031",52.45481,13.59031,,here_maps
2,Pizzawerk,Restaurant,italian,Seelenbinderstraße 112 Köpenick 12555 Berlin,Seelenbinderstraße 112,12555,Köpenick,"52.45481, 13.59031",52.45481,13.59031,Tue-Sun: 17:00 - 22:00,here_maps
3,Veracruz,Restaurant,mexican,Fürstenwalder Damm 260 Friedrichshagen 12587 Berlin,Fürstenwalder Damm 260,12587,Friedrichshagen,"52.45268, 13.59594",52.45268,13.59594,"Mon-Thu, Sun: 12:00 - 23:00 Fri, Sat: 12:00 - 00:00",here_maps
4,Marina Sol,Restaurant,european,Müggelseedamm 70 Friedrichshagen 12587 Berlin,Müggelseedamm 70,12587,Friedrichshagen,"52.44842, 13.61015",52.44842,13.61015,Mon-Sun: 12:00 - 22:00,here_maps
5,Windrose,Restaurant,european,Müggelseedamm 70 Friedrichshagen 12587 Berlin,Müggelseedamm 70,12587,Friedrichshagen,"52.44842, 13.61015",52.44842,13.61015,Mon-Fri: 12:00 - 22:00,here_maps
6,Pier 44,Restaurant,seafood,Wendenschloßstraße 60D Köpenick 12559 Berlin,Wendenschloßstraße 60D,12559,Köpenick,"52.44606, 13.58552",52.44606,13.58552,Mon-Sun: 11:00 - 23:00,here_maps
7,Taj Mahal Haus Köpenick,Snacks/Fast food,italian,Wendenschloßstraße 12 Köpenick 12559 Berlin,Wendenschloßstraße 12,12559,Köpenick,"52.44759, 13.59188",52.44759,13.59188,Mon-Sun: 11:00 - 22:00,here_maps
8,Tasty Waffle,Restaurant,,Mahlsdorfer Straße 97E Köpenick 12555 Berlin,Mahlsdorfer Straße 97E,12555,Köpenick,"52.46229, 13.58212",52.46229,13.58212,Mon-Fri: 07:00 - 21:00 Sat: 11:00 - 17:00 Sun: 11:00 - 18:00,here_maps
9,Café Hdjk,"Theatre, Music & Culture",,Seelenbinderstraße 54 Köpenick 12555 Berlin,Seelenbinderstraße 54,12555,Köpenick,"52.45521, 13.58288",52.45521,13.58288,,here_maps
10,TSV Eiche Köpenick,Sport Facility/Venue,,Wendenschloßstraße 6 Köpenick 12559 Berlin,Wendenschloßstraße 6,12559,Köpenick,"52.44857, 13.59291",52.44857,13.59291,,here_maps
11,Aao Ji,Restaurant,asian,Wendenschloßstraße 12 Köpenick 12559 Berlin,Wendenschloßstraße 12,12559,Köpenick,"52.44759, 13.59188",52.44759,13.59188,Mon-Sun: 11:30 - 23:00,here_maps
12,El Loco,Restaurant,american,Freiheit 5 Köpenick 12555 Berlin,Freiheit 5,12555,Köpenick,"52.44732, 13.57702",52.44732,13.57702,Mon-Sun: 16:00 - 21:00,here_maps
13,Gaststatte Vereinsheim Erpetal,Restaurant,european,Duftgeranienweg 40 Friedrichshagen 12587 Berlin,Duftgeranienweg 40,12587,Friedrichshagen,"52.460007, 13.611314",52.460007,13.611314,Wed-Fri: 17:00 - 22:00 Sat: 11:00 - 23:00 Sun: 09:00 - 22:00,here_maps
14,Domino's Pizza,Restaurant,italian,Puchanstraße 22 Köpenick 12555 Berlin,Puchanstraße 22,12555,Köpenick,"52.45415, 13.57784",52.45415,13.57784,Mon-Sun: 11:00 - 23:00,here_maps
15,Hippokrates,Restaurant,mediterranean,Mahlsdorfer Straße 106 Köpenick 12555 Berlin,Mahlsdorfer Straße 106,12555,Köpenick,"52.45991, 13.58036",52.45991,13.58036,"Mon-Thu, Sun: 12:00 - 23:00 Fri, Sat: 12:00 - 00:00",here_maps
16,Burgerburo,Restaurant,fastfood,Bahnhofstraße Köpenick 12555 Berlin,Bahnhofstraße,12555,Köpenick,"52.45736, 13.57798",52.45736,13.57798,Mon-Sun: 10:00 - 22:00,here_maps
17,Mykonos,Restaurant,mediterranean,Wendenschloßstraße 43 Köpenick 12559 Berlin,Wendenschloßstraße 43,12559,Köpenick,"52.44434, 13.58531",52.44434,13.58531,Mon-Sun: 12:00 - 23:59,here_maps
18,Viet Duc,Restaurant,asian,Bahnhofstraße 1 Köpenick 12555 Berlin,Bahnhofstraße 1,12555,Köpenick,"52.45302, 13.57486",52.45302,13.57486,Tue-Sun: 11:00 - 22:00,here_maps
19,Tandoori Mahal,Restaurant,middle eastern,Amtsstraße 5 Köpenick 12555 Berlin,Amtsstraße 5,12555,Köpenick,"52.4441, 13.57957",52.4441,13.57957,Mon-Sun: 11:30 - 23:00,here_maps
20,Nordsee,Restaurant,seafood,Bahnhofstraße 33 Köpenick 12555 Berlin,Bahnhofstraße 33,12555,Köpenick,"52.45846, 13.57895",52.45846,13.57895,,here_maps
21,Cafeteria im Krankenhaus Köpenick,Restaurant,,SalvadorAllendeStraße Köpenick 12559 Berlin,SalvadorAllendeStraße,12559,Köpenick,"52.44002, 13.59428",52.44002,13.59428,,here_maps
22,Amtsfeld,Restaurant,,PabloNerudaStraße 3 Köpenick 12559 Berlin,PabloNerudaStraße 3,12559,Köpenick,"52.4413, 13.58743",52.4413,13.58743,,here_maps
23,Waschhaus Alt-Köpenick,Restaurant,european,Katzengraben 19 Köpenick 12555 Berlin,Katzengraben 19,12555,Köpenick,"52.4459, 13.5795",52.4459,13.5795,"Wed-Fri: 17:00 - 00:00, 17:00 - 00:00 Sat, Sun: 11:00 - 00:00, 11:00 - 00:00",here_maps
24,Mia Mambo Döner,Restaurant,middle eastern,Wendenschloßstraße 37 Köpenick 12559 Berlin,Wendenschloßstraße 37,12559,Köpenick,"52.44475, 13.58639",52.44475,13.58639,,here_maps
25,Isaja,Snacks/Fast food,fastfood,Borgmannstraße 5 Köpenick 12555 Berlin,Borgmannstraße 5,12555,Köpenick,"52.45686, 13.58085",52.45686,13.58085,"Mon-Thu, Sun: 11:00 - 19:00 Fri, Sat: 11:00 - 21:00",here_maps
26,Hauptmann von Koepenick,Restaurant,european,Mahlsdorfer Straße 1 Köpenick 12555 Berlin,Mahlsdorfer Straße 1,12555,Köpenick,"52.45919, 13.58025",52.45919,13.58025,"Mon-Thu, Sun: 08:00 - 13:00 Fri, Sat: 08:00 - 14:00",here_maps
27,Chartina Lokal,Restaurant,,SalvadorAllendeStraße Köpenick 12559 Berlin,SalvadorAllendeStraße,12559,Köpenick,"52.43976, 13.59405",52.43976,13.59405,,here_maps
28,Bistro 2000-Cafe,Restaurant,,Wendenschloßstraße 49 Köpenick 12559 Berlin,Wendenschloßstraße 49,12559,Köpenick,"52.44364, 13.58396",52.44364,13.58396,,here_maps
29,Restaurant Sandmann,Restaurant,european,Parrisiusstraße 19 Köpenick 12555 Berlin,Parrisiusstraße 19,12555,Köpenick,"52.45676, 13.58098",52.45676,13.58098,"Mon-Thu, Sat, Sun: 10:00 - 22:00 Fri: 10:00 - 23:00",here_maps
30,Kinzer Krug,Restaurant,european,Bahnhofstraße 7 Köpenick 12555 Berlin,Bahnhofstraße 7,12555,Köpenick,"52.45473, 13.57666",52.45473,13.57666,,here_maps
31,Rodos,Restaurant,,Bahnhofstraße Köpenick 12555 Berlin,Bahnhofstraße,12555,Köpenick,"52.458248, 13.578168",52.458248,13.578168,,here_maps
32,Lehmofen,Restaurant,asian,Freiheit 12 Köpenick 12555 Berlin,Freiheit 12,12555,Köpenick,"52.44748, 13.57816",52.44748,13.57816,"Mon-Thu: 12:00 - 12:00 Fri, Sat: 12:00 - 13:00 Sun: 10:00 - 12:00",here_maps
33,Pizza Pasta,Restaurant,italian,Bahnhofstraße 33 Köpenick 12555 Berlin,Bahnhofstraße 33,12555,Köpenick,"52.45846, 13.57895",52.45846,13.57895,,here_maps
34,Tinh Co,Restaurant,asian,Bahnhofstraße 7 Köpenick 12555 Berlin,Bahnhofstraße 7,12555,Köpenick,"52.45473, 13.57666",52.45473,13.57666,"Mon-Fri: 11:00 - 23:00 Sat, Sun: 12:00 - 23:00",here_maps
35,Segafredo Espresso-Bar,Restaurant,,Bahnhofstraße 33 Köpenick 12555 Berlin,Bahnhofstraße 33,12555,Köpenick,"52.45846, 13.57895",52.45846,13.57895,Mon-Sat: 10:00 - 20:00,here_maps
36,Kombüse,Restaurant,european,Freiheit 5 Köpenick 12555 Berlin,Freiheit 5,12555,Köpenick,"52.44732, 13.57702",52.44732,13.57702,,here_maps
37,Dehning Heideschlachter,Restaurant,,Bahnhofstraße Köpenick 12555 Berlin,Bahnhofstraße,12555,Köpenick,"52.458119, 13.578409",52.458119,13.578409,,here_maps
38,Peps Kaffee,Restaurant,breakfast/dessert,Kirchstraße 1 Köpenick 12555 Berlin,Kirchstraße 1,12555,Köpenick,"52.44692, 13.57617",52.44692,13.57617,"Tue-Fri: 08:00 - 16:30 Sat, Sun: 09:00 - 16:30",here_maps
39,El Tinto,Restaurant,mediterranean,Kirchstraße 1 Köpenick 12555 Berlin,Kirchstraße 1,12555,Köpenick,"52.44692, 13.57617",52.44692,13.57617,Mon-Sun: 17:00 - 22:00,here_maps
40,Sapori di Sicilia,Restaurant,italian,Freiheit 11 Köpenick 12555 Berlin,Freiheit 11,12555,Köpenick,"52.44756, 13.57878",52.44756,13.57878,,here_maps
41,China Bistro Thang Long,Restaurant,,Köpenick 12555 Berlin,,,,"52.457882, 13.576605",52.457882,13.576605,,here_maps
42,Presto,Restaurant,,Seelenbinderstraße 23 Köpenick 12555 Berlin,Seelenbinderstraße 23,12555,Köpenick,"52.45579, 13.5784",52.45579,13.5784,,here_maps
43,Milchkaffee,Coffee/Tea,european,Kirchstraße 5 Köpenick 12555 Berlin,Kirchstraße 5,12555,Köpenick,"52.44614, 13.57639",52.44614,13.57639,Tue-Sat: 09:00 - 18:00 Sun: 10:00 - 18:00,here_maps
