circle_id,kmradius,Unnamed: 0,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,distance_to_circle_center
0,2,2788,Bapu,9.0,513.0,50.0,1.5,1172.0,40.0,indian,"Stahnsdorfer Damm 19, 12165.0, Kleinmachnow",Stahnsdorfer Damm 19,12165.0,Kleinmachnow,"52.3966564,13.2072814",52.3966564,13.2072814,lieferando,0.6867653858747128
0,2,3290,Eiscafé Paolella,9.2,45.0,10.0,0.0,892.0,30.0,italian,"Steinweg 9, 14109.0, Kleinmachnow",Steinweg 9,14109.0,Kleinmachnow,"52.412544,13.2124241",52.412544,13.2124241,lieferando,2.27544955451882
0,2,3329,Osteria Ballerino,9.0,225.0,25.0,0.0,1017.0,25.0,italian,"Ruhlsdorfer Strasse 14-16, 14165.0, Stahnsdorf",Ruhlsdorfer Strasse 14-16,14165.0,Stahnsdorf,"52.3911,13.22569",52.3911,13.22569,lieferando,1.9048235823563697
1,2,2782,C&D Asiafood,8.8,341.0,25.0,1.5,660.0,30.0,asian,"Teltower Damm 283, 12165.0, Berlin",Teltower Damm 283,12165.0,Berlin,"52.4082683,13.268627",52.4082683,13.268627,lieferando,2.1018426322822688
1,2,2791,Asia Hot Wok Lieferservice,8.4,1021.0,25.0,3.0,685.0,45.0,asian,"Ruhlsdorfer Str. 138, 12169.0, Teltow",Ruhlsdorfer Str. 138,12169.0,Teltow,"52.3823497,13.2629004",52.3823497,13.2629004,lieferando,1.6395137156003712
1,2,2803,Pizza & Burger Bulls,8.8,5280.0,12.5,0.0,1033.0,40.0,italian,"Teltower Damm 266b, 12205.0, Berlin",Teltower Damm 266b,12205.0,Berlin,"52.41069,13.26603",52.41069,13.26603,lieferando,2.2100216085976143
1,2,2811,Trattoria Toscana,9.0,886.0,20.0,0.0,1245.0,30.0,italian,"Iserstraße 8-10, 12207.0, Teltow",Iserstraße 8-10,12207.0,Teltow,"52.3935841,13.2433398",52.3935841,13.2433398,lieferando,0.34054314680335057
1,2,3320,Tele Pizza,8.6,143.0,20.0,0.0,0.0,40.0,italian,"Zehlendorfer Damm 121, 14129.0, Kleinmachnow",Zehlendorfer Damm 121,14129.0,Kleinmachnow,"52.4058277,13.2344358",52.4058277,13.2344358,lieferando,1.6134850581525135
1,2,3323,PhoHoiAn,9.6,722.0,40.0,0.0,940.0,40.0,vegetarian or vegan,"Potsdamer Straße 12A, 14163.0, Teltow",Potsdamer Straße 12A,14163.0,Teltow,"52.39852,13.24624",52.39852,13.24624,lieferando,0.5155676764617826
1,2,3324,Leesu,8.0,1122.0,35.0,0.0,844.0,50.0,asian,"Zehlendorfer Damm 120, 14163.0, Kleinmachnow",Zehlendorfer Damm 120,14163.0,Kleinmachnow,"52.4054419,13.2348491",52.4054419,13.2348491,lieferando,1.5622122598243429
1,2,3325,McDonald's®,9.2,506.0,15.0,0.0,0.0,20.0,american,"Potsdamer Straße 2, 14165.0, Teltow",Potsdamer Straße 2,14165.0,Teltow,"52.3949025,13.2379828",52.3949025,13.2379828,lieferando,0.70735685981374
1,2,3326,Domino's Pizza,9.2,524.0,7.9,0.0,1002.0,25.0,italian,"Potsdamer Straße 53, 14165.0, Teltow",Potsdamer Straße 53,14165.0,Teltow,"52.4016624,13.2594647",52.4016624,13.2594647,lieferando,1.1381407490276545
1,2,3327,Le Asia,8.6,951.0,15.0,0.0,819.0,30.0,asian,"Potsdamer Straße 61, 14165.0, Teltow",Potsdamer Straße 61,14165.0,Teltow,"52.4013361,13.2605517",52.4013361,13.2605517,lieferando,1.1633380258302808
1,2,3328,burgerme,8.6,84.0,6.99,1.99,0.0,30.0,american,"Bäckerstraße 4, 14165.0, Teltow",Bäckerstraße 4,14165.0,Teltow,"52.40144,13.2633133",52.40144,13.2633133,lieferando,1.3120718717064064
1,2,3329,Osteria Ballerino,9.0,225.0,25.0,0.0,1017.0,25.0,italian,"Ruhlsdorfer Strasse 14-16, 14165.0, Stahnsdorf",Ruhlsdorfer Strasse 14-16,14165.0,Stahnsdorf,"52.3911,13.22569",52.3911,13.22569,lieferando,1.572795468871269
2,2,94,Dawat Indische Spezialitäten,8.4,5031.0,15.0,0.0,1168.0,40.0,indian,"Celsiusstr. 56, 10115.0, Berlin",Celsiusstr. 56,10115.0,Berlin,"52.412163,13.3125831",52.412163,13.3125831,lieferando,2.232928181434503
2,2,2323,Quan Vuon,9.0,166.0,50.0,2.0,650.0,30.0,asian,"Am Stichkanal 1-11, 10707.0, Berlin",Am Stichkanal 1-11,10707.0,Berlin,"52.4105056,13.2825611",52.4105056,13.2825611,lieferando,2.1252346387516554
2,2,2710,Pizza Baron,8.8,1382.0,18.0,2.0,835.0,50.0,italian,"Fahrenheitstraße 28, 12105.0, Berlin",Fahrenheitstraße 28,12105.0,Berlin,"52.4133,13.31393",52.4133,13.31393,lieferando,2.3867713119662
2,2,2814,Baz Pizza & Burger,8.8,47.0,12.0,0.0,0.0,30.0,italian,"Feldstraße 34, 12207.0, Teltow",Feldstraße 34,12207.0,Teltow,"52.3979892,13.2878139",52.3979892,13.2878139,lieferando,0.844940919036931
3,2,118,Raja,7.6,249.0,12.0,0.0,1165.0,75.0,indian,"Marienfelder Allee 220, 10115.0, Berlin",Marienfelder Allee 220,10115.0,Berlin,"52.40748,13.3573",52.40748,13.3573,lieferando,1.6069624133313503
3,2,2691,Delhi 1,9.4,1837.0,60.0,0.0,1088.0,30.0,indian,"Marienfelder Allee 197b, 12101.0, Berlin",Marienfelder Allee 197b,12101.0,Berlin,"52.40866,13.3594599",52.40866,13.3594599,lieferando,1.785429704570466
3,2,2711,Kebap Club,8.0,1186.0,25.0,0.0,893.0,50.0,italian,"Hildburghauser Strasse 29, 12105.0, Berlin",Hildburghauser Strasse 29,12105.0,Berlin,"52.4132659,13.3536639",52.4132659,13.3536639,lieferando,2.165090310280198
3,2,2725,BURGER KING ®,6.0,2560.0,12.0,0.0,984.0,75.0,american,"Nahmitzer Damm 12, 12107.0, Berlin",Nahmitzer Damm 12,12107.0,Berlin,"52.409392,13.3684146",52.409392,13.3684146,lieferando,2.1754712548137087
3,2,2743,Mini Pizza Ciao,8.8,58.0,10.0,2.99,0.0,30.0,vegetarian or vegan,"Marienfelder Allee 144-146, 12107.0, Berlin",Marienfelder Allee 144-146,12107.0,Berlin,"52.4134901,13.3624845",52.4134901,13.3624845,lieferando,2.3601277948046313
3,2,2810,Burgerzimmer,9.4,1012.0,20.0,0.99,0.0,50.0,american,"Marienfelder Allee 146, 12207.0, Berlin",Marienfelder Allee 146,12207.0,Berlin,"52.4134261,13.3630744",52.4134261,13.3630744,lieferando,2.3700257911120652
3,2,2813,Bistro Bianco,9.2,35.0,10.0,2.99,0.0,30.0,italian,"Waldsassener Straße 42, 12207.0, Berlin",Waldsassener Straße 42,12207.0,Berlin,"52.4085581,13.3501842",52.4085581,13.3501842,lieferando,1.617130772949877
4,2,2694,Pizzeria Il Forno,7.8,7180.0,30.0,2.0,830.0,40.0,italian,"Buckower Chaussee 162, 12103.0, Berlin",Buckower Chaussee 162,12103.0,Berlin,"52.4142072,13.400895",52.4142072,13.400895,lieferando,2.2468736193676073
4,2,2709,Pizzeria La Vado,8.6,126.0,15.0,2.0,932.0,40.0,italian,"Wünsdorfer Str. 107, 12105.0, Berlin",Wünsdorfer Str. 107,12105.0,Berlin,"52.3886436,13.3945144",52.3886436,13.3945144,lieferando,0.6676030418312939
