circle_id,spacing,Unnamed: 0,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
1073,50,75,Salami Social Club II,7.8,10.0,,€€,50.0,italian,Schönhauser Allee 176,10119,Berlin,52.53172205551587,13.412003162761234,wolt
1073,50,126,Golden Fleece,8.8,10.0,,€€€,35.0,european,Torstraße 69,10119,Berlin,52.52939139999999,13.4076279,wolt
1073,50,206,Ryong,8.8,10.0,,€€,35.0,asian,Torstraße 59,10119,Berlin,52.52907725886125,13.40893395582038,wolt
1074,50,27,Fam. Dang,8.0,10.0,,€€,55.0,asian,Torstraße 125,10119,Berlin,52.52974381102301,13.400502548444754,wolt
1074,50,40,Aiko Sushi,8.4,10.0,,€€€,55.0,asian,Brunnenstraße 193,10119,Berlin,52.53053882332101,13.400382578829037,wolt
1074,50,71,FECHTNER Berlin,8.8,10.0,1.9,€€,,european,Torstraße 114,10119,Berlin,52.529583,13.4025829,wolt
1074,50,74,Burger Vision Torstraße,8.4,10.0,,€€,50.0,american,Torstraße 128,10119,Berlin,52.5293856,13.4004516,wolt
1074,50,81,Wrapublic Mitte,8.8,10.0,,€€,35.0,steak,Torstraße 118,10119,Berlin,52.5295128,13.4021367,wolt
1074,50,92,Curry Mitte,9.0,10.0,,€,35.0,fastfood,Torstraße 122 ,10119,Berlin,52.52947949164066,13.401082658763467,wolt
1074,50,100,Tiger Ramen,7.4,10.0,,€€,,asian,This is a virtual venue,10119,Berlin,52.5307021,13.4023004,wolt
1074,50,113,Capvin,8.2,10.0,,€€,35.0,italian,Weinbergsweg 24,10119,Berlin,52.53074110000001,13.401757,wolt
1074,50,117,DALUMA,8.6,10.0,,€€,35.0,poke,Weinbergsweg 3,10119,Berlin,52.53050805139134,13.40215026441957,wolt
1074,50,121,Sucre Et Sel,8.2,10.0,,€€€,50.0,european,Torstrasse 132,10119,Berlin,52.5294179,13.4000347,wolt
1074,50,152,Vegan Bashi,8.2,10.0,,€€€,,asian,This is a virtual venue,10119,Berlin,52.5307021,13.4023004,wolt
1074,50,155,Nihombashi,7.8,10.0,,€€,,asian,Weinbergsweg 4,10119,Berlin,52.5307021,13.4023004,wolt
1074,50,174,Marina Blu,7.8,10.0,,€€€,50.0,italian,Weinbergsweg 8A,10119,Berlin,52.53126551033871,13.40291421123817,wolt
