restaurant_name,avg_review_score,street,zip_code,city_name,type_of_cuisine,minimum_order_value,delivery_fee,pricyness,latitude,longitude,avg_delivery_time
Besh,8.8,Brückenstraße 15,10179,Berlin,"['vegetarian', 'oriental', 'fresh']",10.00,,€,52.511594911272894,13.416638899619757,30–40 min
Five Rivers,8.8,Albrechtstraße 11,10117,Berlin,"['asian', 'sushi', 'summer rolls']",10.00,,€€,52.5214627,13.3848372,50–60 min
Ferrarino Pizza,8.6,Garnisonkirchpl. 2,10178,Berlin,"['pizza', 'italian', 'mediterranean']",10.00,,€€,52.52182999999999,13.40174,30–40 min
Hito Falafel,9.0,Chauseestraße 4,10115,Berlin,"['falafel', 'shawarma', 'Arabic']",10.00,,€€,52.527779975720726,13.38692562524518,30–40 min
Miu Lunch,,Reinhardtstraße 47 A,10117,Berlin,"['asian', 'pokebowl', 'curry']",10.00,1.90Min.,€,52.5221767,13.3781882,
Pizza-Scheune,8.4,Rosa-Luxemburg-Straße 49 ,10178,Berlin,"['pizza', 'italian', 'vegetable']",10.00,,€€,52.5280443,13.4099983,30–40 min
Good n Vegan Kreuzberg,9.0,This is a virtual venue,10963,Berlin,"['vegan', 'european', 'hamburger']",,,€€,52.5038107,13.3804042,Takeaway
CRACKBUNS,9.0,Auguststrasse 63,10117,Berlin,"['burger', 'sliders', 'fries']",10.00,,€,52.527203,13.3971057,45–55 min
Hauptstadtburger,7.6,Leipziger Pl. 12,10117,Berlin,"['burger', 'fries', 'hamburger']",10.00,,€€,52.5102491,13.3799541,30–40 min
KAIMUG - Foodfactory Cube,8.2,Washingtonpl. 3,10557,Berlin,"['thai', 'asian', 'sushi']",10.00,,€€,52.52366857353486,13.369385654631834,30–40 min
Hummus Company,8.0,Leipziger Platz 12,10117,Berlin,"['hummus', 'middle eastern', 'pita']",10.00,,€,52.5102491,13.3799541,30–40 min
BrewDog Berlin Mitte,8.0,Ackerstraße 29,10115,Berlin,"['beer', 'pizza', 'american']",10.00,,€€,52.532829205434375,13.395768525794837,30–40 min
Chen Che,8.0,Rosenthaler Str. 62,10119,Berlin,"['vietnamese', 'street food', 'noodles']",10.00,,€,52.527961,13.4030479,30–40 min
Burgerzimmer X,7.8,Heinrich-Heine-Straße 36,10179,Berlin,"['burger', 'hotdog', 'fries']",10.00,,€€,52.5057895,13.4121294,50–60 min
