,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
0,BunUp Mitte,7.8,10.0,,1.0,35.0,vegetarian or vegan,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
1,Machiavelli,8.4,10.0,1.9,2.0,,european,Albrechtstr.13 Berlin,10117, Berlin,52.52130280012305,13.385180090564926,wolt
2,Pizza Peppino,,10.0,,1.0,35.0,european,Tucholskystraße 13,10117,Berlin,52.52339332586772,13.391764043640274,wolt
3,Fresh's,7.8,10.0,,1.0,35.0,poke,This is a virtual venue,10178,Berlin,52.5238316,13.3985704,wolt
4,Bombay,8.4,10.0,,2.0,35.0,middle eastern,Friedrichstraße 106c,10117, Berlin,52.5232743,13.3884602,wolt
5,Goodtime,8.8,10.0,,3.0,35.0,asian,Hausvogteiplatz 11a ,10117,Berlin,52.512719989573846,13.396920166606986,wolt
6,Da Vinci Ristorante,7.6,10.0,,2.0,35.0,italian,Georgenstraße 192,10117,Berlin,52.5201646,13.3913112,wolt
7,Ristorante Bella Vita,7.6,10.0,,2.0,35.0,italian,Mittelstraße 62,10117,Berlin,52.5179452,13.389358,wolt
8,Rotes Kamel,8.6,10.0,,2.0,35.0,steak, Hannah-Arendt-Str. 4,10117,Berlin,52.5140041,13.3811706,wolt
9,Restaurant Aposto,8.0,10.0,,2.0,35.0,european,Monbijouplatz 12,10178,Berlin,52.52256,13.39942,wolt
10,CRACKBUNS,9.0,,,1.0,,american,Auguststrasse 63,10117,Berlin,52.527203,13.3971057,wolt
11,Monsieur Vuong,8.8,,,2.0,,asian,Alte Schönhauser Str. 46,10119,Berlin,52.5266587656873,13.40794609384705,wolt
12,Umami Prenzlauer Berg,8.8,10.0,1.9,2.0,,asian,Knaackstraße 16-18,10405,Berlin,52.53461799999999,13.4197911,wolt
13,Brammibal's Donuts - Mitte,9.6,10.0,1.9,1.0,,breakfast/dessert,Rosa-Luxemburg-Straße 5,10178,Berlin,52.52366362530687,13.40920530037585,wolt
14,Tommi's Burger Joint Mitte,7.6,10.0,1.9,2.0,,american,Invalidenstrasse 160,10115,Berlin,52.53238289999999,13.3976359,wolt
15,Transit Mitte,8.8,10.0,1.9,1.0,,asian,Rosenthalerstraße 68,10119,Berlin,52.52864513176107,13.4022783,wolt
16,Kebap with attitude,8.2,10.0,1.9,2.0,,middle eastern,Gipsstraße 2,10119,Berlin,52.52724314420447,13.39913771682263,wolt
17,Mr Imbiss Berlin,,10.0,1.9,,,,Schützenstraße 2,10117, Berlin,52.508507041615765,13.390493204098584,wolt
18,Chupenga - Burritos & Salads Georgenstr.,8.4,10.0,1.9,1.0,,poke,Georgenstraße 200,10117,Berlin,52.51995687003612,13.389513147222218,wolt
19,Noumi,9.2,10.0,1.9,2.0,,asian,Jägerstr. 35,10117,Berlin,52.5143007,13.397416,wolt
