restaurant_name,pricyness,delivery_fee,street,city_name,latitude,longitude,coordinates,link,database
Burgermeister Kottbusser Tor,1,2.90,Skalitzer Str. 136,berlin,52.49950319999998,13.418596600000013,"52.49950319999998,13.418596600000013",https://wolt.com/en/deu/berlin/restaurant/burgermeister-kottbusser-tor,wolt
Pizza Meister,1,2.90,Zossener Straße 12,berlin,52.4922794,13.3943531,"52.4922794,13.3943531",https://wolt.com/en/deu/berlin/restaurant/pizza-meister,wolt
Burgermann,1,2.90,Schönhauser Allee 173,berlin,52.532460231915074,13.412155674891162,"52.532460231915074,13.412155674891162",https://wolt.com/en/deu/berlin/restaurant/burgermann,wolt
Bergmann Burger by BeefMan,1,2.90,Bergmannstraße 112,berlin,52.4902266,13.3873411,"52.4902266,13.3873411",https://wolt.com/en/deu/berlin/restaurant/bergmann-burger-by-beefman,wolt
Pizza Noi,1,2.90,Potsdamer Straße 112,berlin,52.50057444327202,13.363152750293107,"52.50057444327202,13.363152750293107",https://wolt.com/en/deu/berlin/restaurant/pizza-noi,wolt
Burger City - Potsdamer Straße,1,2.90,Potsdamer Straße 129,berlin,52.4973097,13.3625665,"52.4973097,13.3625665",https://wolt.com/en/deu/berlin/restaurant/burger-city-potsdamer-strasse,wolt
BURGER KING® Potsdamer Straße,2,2.90,Potsdamer Straße 114,berlin,52.5005422,13.3626743,"52.5005422,13.3626743",https://wolt.com/en/deu/berlin/restaurant/burger-king-potsdamer-strae,wolt
Neelou,2,2.90,Karl-Heinrich-Ulrichs-Straße 8 ,berlin,52.50088802929211,13.354110335223442,"52.50088802929211,13.354110335223442",https://wolt.com/en/deu/berlin/restaurant/neelou,wolt
CRACKBUNS,1,2.90,Auguststrasse 63,berlin,52.527203,13.3971057,"52.527203,13.3971057",https://wolt.com/en/deu/berlin/restaurant/crackbuns,wolt
Umami Prenzlauer Berg,2,2.90,Knaackstraße 16-18,berlin,52.53461799999999,13.4197911,"52.53461799999999,13.4197911",https://wolt.com/en/deu/berlin/restaurant/umami-prenzlauer-berg,wolt
Monsieur Vuong,2,2.90,Alte Schönhauser Str. 46,berlin,52.5266587656873,13.40794609384705,"52.5266587656873,13.40794609384705",https://wolt.com/en/deu/berlin/restaurant/monsieur-vuong,wolt
Noumi,2,1.90,Jägerstr. 35,berlin,52.5143007,13.397416,"52.5143007,13.397416",https://wolt.com/en/deu/berlin/restaurant/noumi,wolt
Cadadia Charlottenstraße,1,1.90,Charlottenstraße 63,berlin,52.511461,13.3913719,"52.511461,13.3913719",https://wolt.com/en/deu/berlin/restaurant/cadadia-charlottenstrae,wolt
Kebap with attitude,2,2.90,Gipsstraße 2,berlin,52.52724314420447,13.39913771682263,"52.52724314420447,13.39913771682263",https://wolt.com/en/deu/berlin/restaurant/kwa-kebab-with-attitude,wolt
Kuchi Mitte,2,2.90,Gipsstraße 3,berlin,52.5271845,13.3993081,"52.5271845,13.3993081",https://wolt.com/en/deu/berlin/restaurant/kuchi-mitte,wolt
Wonder Waffel Mall of Berlin,1,1.90,Leipziger Platz 12,berlin,52.510092607317624,13.380587101332868,"52.510092607317624,13.380587101332868",https://wolt.com/en/deu/berlin/restaurant/wonder-waffel-mall-of-berlin,wolt
Shiso Burger Mitte,2,2.90,Auguststrasse 29C,berlin,52.527281088490106,13.39881999755326,"52.527281088490106,13.39881999755326",https://wolt.com/en/deu/berlin/restaurant/shiso-burger-mitte,wolt
Maison Dang,1,2.90,Tucholskystraße 34,berlin,52.52631535360692,13.393759968406496,"52.52631535360692,13.393759968406496",https://wolt.com/en/deu/berlin/restaurant/maison-dang,wolt
Transit Mitte,1,2.90,Rosenthalerstraße 68,berlin,52.52864513176107,13.402278299999999,"52.52864513176107,13.402278299999999",https://wolt.com/en/deu/berlin/restaurant/transit,wolt
Mr Imbiss Berlin,0,1.90,Schützenstraße 2,berlin,52.508507041615765,13.390493204098583,"52.508507041615765,13.390493204098583",https://wolt.com/en/deu/berlin/restaurant/mr-imbiss-berlin,wolt
District Mot,1,2.90,Rosenthaler Str. 62,berlin,52.527961,13.4030479,"52.527961,13.4030479",https://wolt.com/en/deu/berlin/restaurant/district-mot,wolt
Brammibal's Donuts - Potsdamer Platz,1,2.90,Alte Potsdamer Str. 11,berlin,52.5080051,13.3738108,"52.5080051,13.3738108",https://wolt.com/en/deu/berlin/restaurant/brammibals-donuts-alte-potsdamer-str,wolt
Rosenburger,1,2.90,Brunnenstraße 196,berlin,52.5300812,13.4006739,"52.5300812,13.4006739",https://wolt.com/en/deu/berlin/restaurant/rosenburger,wolt
Hasir Burger,1,2.90,Chausseestr.30 ,berlin,52.5323728,13.3812135,"52.5323728,13.3812135",https://wolt.com/en/deu/berlin/restaurant/hasir-burger,wolt
