Coordinates,Name,Type,Address,Cuisine_1,Cuisine_2,Opening Hours,Street,Bezirk,PLZ
"[52.44289, 13.61834]",Spreearche,Restaurant,Müggelschlößchenweg sn Köpenick 12559 Berlin,International,European,,Müggelschlößchenweg sn,Köpenick,12559.0
"[52.445831, 13.627288]",Domaines,Restaurant,JosefNawrockiStraße 21 Friedrichshagen 12587 Berlin,French,European,,JosefNawrockiStraße 21,Friedrichshagen,12587.0
"[52.44662, 13.62387]",Bräustübl,Restaurant,Müggelseedamm 164 Friedrichshagen 12587 Berlin,German,Barbecue,,Müggelseedamm 164,Friedrichshagen,12587.0
"[52.44699, 13.62743]",Friedrichshagener Hofküche,Restaurant,Scharnweberstraße 2 Friedrichshagen 12587 Berlin,,,,Scharnweberstraße 2,Friedrichshagen,12587.0
"[52.44662, 13.62387]",Berliner Bürgerbräu,Restaurant,Müggelseedamm 164 Friedrichshagen 12587 Berlin,German,,,Müggelseedamm 164,Friedrichshagen,12587.0
"[52.44821, 13.62474]",Heinrichs Kitchen,Restaurant,Bölschestraße 11 Friedrichshagen 12587 Berlin,,,,Bölschestraße 11,Friedrichshagen,12587.0
"[52.44802, 13.62471]",Kid Creole,Restaurant,Bölschestraße 10 Friedrichshagen 12587 Berlin,American - Cajun,American,,Bölschestraße 10,Friedrichshagen,12587.0
"[52.44821, 13.62474]",Bar Josef Heinrich Kneipe,Restaurant,Bölschestraße 11 Friedrichshagen 12587 Berlin,,,,Bölschestraße 11,Friedrichshagen,12587.0
"[52.44654, 13.63063]",Restaurantschiff Windflüchter & Gestrandet Hafenbar,Restaurant,Müggelseedamm 216 Friedrichshagen 12587 Berlin,,,,Müggelseedamm 216,Friedrichshagen,12587.0
"[52.44712, 13.62541]",Steak Schmiede - Restaurant und Bar,Restaurant,Müggelseedamm 171A Friedrichshagen 12587 Berlin,Steak,,,Müggelseedamm 171A,Friedrichshagen,12587.0
"[52.44831, 13.62415]",Thieme,Restaurant,Bölschestraße 128 Friedrichshagen 12587 Berlin,Steak,,,Bölschestraße 128,Friedrichshagen,12587.0
"[52.44746, 13.62749]",Tapa. Spanisches Restaurant & Kneipe,Restaurant,Scharnweberstraße 5 Friedrichshagen 12587 Berlin,Tapas,Spanish,,Scharnweberstraße 5,Friedrichshagen,12587.0
"[52.44542, 13.62629]",Restaurant Ehrlich,Restaurant,JosefNawrockiStraße 16 Friedrichshagen 12587 Berlin,European,German,,JosefNawrockiStraße 16,Friedrichshagen,12587.0
"[52.446705, 13.624515]",Biergarten am Sudhaus,Snacks/Fast food,Müggelseedamm 166 Friedrichshagen 12587 Berlin,,,,Müggelseedamm 166,Friedrichshagen,12587.0
"[52.44578, 13.6275]",Restaurantschiff Windfluchter,Restaurant,JosefNawrockiStraße 25 Friedrichshagen 12587 Berlin,International,Barbecue,,JosefNawrockiStraße 25,Friedrichshagen,12587.0
"[52.44664, 13.62736]",Restaurant Taverna der Grieche,Restaurant,Müggelseedamm 188 Friedrichshagen 12587 Berlin,Greek,,,Müggelseedamm 188,Friedrichshagen,12587.0
"[52.44772, 13.62468]",Mokkafee,Restaurant,Bölschestraße 7 Friedrichshagen 12587 Berlin,Breakfast,Brunch,,Bölschestraße 7,Friedrichshagen,12587.0
"[52.44842, 13.61015]",Marina Sol,Restaurant,Müggelseedamm 70 Friedrichshagen 12587 Berlin,Seafood,German,,Müggelseedamm 70,Friedrichshagen,12587.0
"[52.44928, 13.62426]",Simply Asia,Restaurant,Bölschestraße 121 Friedrichshagen 12587 Berlin,Thai,Vietnamese,,Bölschestraße 121,Friedrichshagen,12587.0
"[52.45256, 13.62524]",Mauna Kea,Restaurant,Bölschestraße 44 Friedrichshagen 12587 Berlin,International,Breakfast,,Bölschestraße 44,Friedrichshagen,12587.0
"[52.45139, 13.62451]",Der Feinkostladen,Shop,Bölschestraße 108 Friedrichshagen 12587 Berlin,,,,Bölschestraße 108,Friedrichshagen,12587.0
"[52.45363, 13.62538]",Trattoria Casa Italiana,Restaurant,Bölschestraße 51 Friedrichshagen 12587 Berlin,Italian,,,Bölschestraße 51,Friedrichshagen,12587.0
"[52.4518, 13.62456]",Zum Alten Fritz,Restaurant,Bölschestraße 104 Friedrichshagen 12587 Berlin,German,,,Bölschestraße 104,Friedrichshagen,12587.0
"[52.4518, 13.62456]",An di an di,Restaurant,Bölschestraße 104 Friedrichshagen 12587 Berlin,Vietnamese,Asian,,Bölschestraße 104,Friedrichshagen,12587.0
"[52.45471, 13.62551]",Tanriverdi's Bistro,Restaurant,Bölschestraße 60 Friedrichshagen 12587 Berlin,Turkish,Asian,,Bölschestraße 60,Friedrichshagen,12587.0
"[52.45199, 13.62543]",Cafe and Restaurant vier Jahreszeiten,Restaurant,Bölschestraße 37 Friedrichshagen 12587 Berlin,German,,,Bölschestraße 37,Friedrichshagen,12587.0
"[52.45564, 13.62562]",Veracruz,Restaurant,Bölschestraße 66 Friedrichshagen 12587 Berlin,German,Spanish,,Bölschestraße 66,Friedrichshagen,12587.0
