Name,lat,lon,Address
Spreearche,52.44289,13.61834,Müggelschlößchenweg sn Köpenick 12559 Berlin
Domaines,52.445831,13.627288,JosefNawrockiStraße 21 Friedrichshagen 12587 Berlin
Bräustübl,52.44662,13.62387,Müggelseedamm 164 Friedrichshagen 12587 Berlin
Friedrichshagener Hofküche,52.44699,13.62743,Scharnweberstraße 2 Friedrichshagen 12587 Berlin
Berliner Bürgerbräu,52.44662,13.62387,Müggelseedamm 164 Friedrichshagen 12587 Berlin
Heinrichs Kitchen,52.44821,13.62474,Bölschestraße 11 Friedrichshagen 12587 Berlin
Kid Creole,52.44802,13.62471,Bölschestraße 10 Friedrichshagen 12587 Berlin
Bar Josef Heinrich Kneipe,52.44821,13.62474,Bölschestraße 11 Friedrichshagen 12587 Berlin
Restaurantschiff Windflüchter & Gestrandet Hafenbar,52.44654,13.63063,Müggelseedamm 216 Friedrichshagen 12587 Berlin
Steak Schmiede - Restaurant und Bar,52.44712,13.62541,Müggelseedamm 171A Friedrichshagen 12587 Berlin
Thieme,52.44831,13.62415,Bölschestraße 128 Friedrichshagen 12587 Berlin
Tapa. Spanisches Restaurant & Kneipe,52.44746,13.62749,Scharnweberstraße 5 Friedrichshagen 12587 Berlin
Restaurant Ehrlich,52.44542,13.62629,JosefNawrockiStraße 16 Friedrichshagen 12587 Berlin
Biergarten am Sudhaus,52.446705,13.624515,Müggelseedamm 166 Friedrichshagen 12587 Berlin
Restaurantschiff Windfluchter,52.44578,13.6275,JosefNawrockiStraße 25 Friedrichshagen 12587 Berlin
Restaurant Taverna der Grieche,52.44664,13.62736,Müggelseedamm 188 Friedrichshagen 12587 Berlin
Mokkafee,52.44772,13.62468,Bölschestraße 7 Friedrichshagen 12587 Berlin
Marina Sol,52.44842,13.61015,Müggelseedamm 70 Friedrichshagen 12587 Berlin
Simply Asia,52.44928,13.62426,Bölschestraße 121 Friedrichshagen 12587 Berlin
Mauna Kea,52.45256,13.62524,Bölschestraße 44 Friedrichshagen 12587 Berlin
Der Feinkostladen,52.45139,13.62451,Bölschestraße 108 Friedrichshagen 12587 Berlin
Trattoria Casa Italiana,52.45363,13.62538,Bölschestraße 51 Friedrichshagen 12587 Berlin
Zum Alten Fritz,52.4518,13.62456,Bölschestraße 104 Friedrichshagen 12587 Berlin
An di an di,52.4518,13.62456,Bölschestraße 104 Friedrichshagen 12587 Berlin
Tanriverdi's Bistro,52.45471,13.62551,Bölschestraße 60 Friedrichshagen 12587 Berlin
Cafe and Restaurant vier Jahreszeiten,52.45199,13.62543,Bölschestraße 37 Friedrichshagen 12587 Berlin
Veracruz,52.45564,13.62562,Bölschestraße 66 Friedrichshagen 12587 Berlin
Müggelschlösschen,52.44863,13.62419,Bölschestraße 126 Friedrichshagen 12587 Berlin
Wirtshaus Rolandseck,52.45309,13.6278,Scharnweberstraße 80 Friedrichshagen 12587 Berlin
Tresoli,52.45162,13.62454,Bölschestraße 105 Friedrichshagen 12587 Berlin
L'Annam,52.45598,13.62506,Bölschestraße 76 Friedrichshagen 12587 Berlin
Die Spindel,52.45363,13.62538,Bölschestraße 51 Friedrichshagen 12587 Berlin
Kodama,52.44928,13.62426,Bölschestraße 121 Friedrichshagen 12587 Berlin
Eis Dadalt,52.45324,13.62473,Bölschestraße 94 Friedrichshagen 12587 Berlin
Eiscafe Klatsch,52.44991,13.62494,Bölschestraße 25 Friedrichshagen 12587 Berlin
Pane Vino,52.45008,13.62496,Bölschestraße 26 Friedrichshagen 12587 Berlin
Muggelsee Terrassen,52.42639,13.62916,Müggelheimer Damm 143 Köpenick 12559 Berlin
Seerestaurant,52.42613,13.64023,Müggelheimer Damm 145 Köpenick 12559 Berlin
Wendenturm,52.42613,13.64023,Müggelheimer Damm 145 Köpenick 12559 Berlin
Windrose,52.44842,13.61015,Müggelseedamm 70 Friedrichshagen 12587 Berlin
Cafeteria im Krankenhaus Köpenick,52.44002,13.59428,SalvadorAllendeStraße Köpenick 12559 Berlin
Maxes Veranstaltungslokal Cöpenick,52.43325,13.59566,Pritstabelstraße 60 Köpenick 12557 Berlin
Chartina Lokal,52.43976,13.59405,SalvadorAllendeStraße Köpenick 12559 Berlin
Asia Park,52.4351,13.59605,Grüne Trift am Walde 15 Köpenick 12557 Berlin
Hausmannskost Köpenick,52.44041,13.60144,Müggelschlößchenweg 44 Köpenick 12559 Berlin
Gaststatte zur Glocke,52.45108,13.62564,Bölschestraße 31 Friedrichshagen 12587 Berlin
Goldmanns Feine Kost,52.45576,13.62614,Am Goldmannpark 4 Friedrichshagen 12587 Berlin
Hotel-Pension Mendau,52.45616,13.61154,Stillerzeile 42 Friedrichshagen 12587 Berlin
Thüringer Ritter,52.45649,13.62513,Bölschestraße 73 Friedrichshagen 12587 Berlin
Bölsche Imbiss,52.45659,13.62514,Bölschestraße 72 Friedrichshagen 12587 Berlin
