Name,lat,lon
Spreearche,52.44289,13.61834
Domaines,52.445831,13.627288
Bräustübl,52.44662,13.62387
Friedrichshagener Hofküche,52.44699,13.62743
Berliner Bürgerbräu,52.44662,13.62387
Heinrichs Kitchen,52.44821,13.62474
Kid Creole,52.44802,13.62471
Bar Josef Heinrich Kneipe,52.44821,13.62474
Restaurantschiff Windflüchter & Gestrandet Hafenbar,52.44654,13.63063
Steak Schmiede - Restaurant und Bar,52.44712,13.62541
Thieme,52.44831,13.62415
Tapa. Spanisches Restaurant & Kneipe,52.44746,13.62749
Restaurant Ehrlich,52.44542,13.62629
Biergarten am Sudhaus,52.446705,13.624515
Restaurantschiff Windfluchter,52.44578,13.6275
Restaurant Taverna der Grieche,52.44664,13.62736
Mokkafee,52.44772,13.62468
Marina Sol,52.44842,13.61015
Simply Asia,52.44928,13.62426
Mauna Kea,52.45256,13.62524
Der Feinkostladen,52.45139,13.62451
Trattoria Casa Italiana,52.45363,13.62538
Zum Alten Fritz,52.4518,13.62456
An di an di,52.4518,13.62456
Tanriverdi's Bistro,52.45471,13.62551
Cafe and Restaurant vier Jahreszeiten,52.45199,13.62543
Veracruz,52.45564,13.62562
Müggelschlösschen,52.44863,13.62419
Wirtshaus Rolandseck,52.45309,13.6278
Tresoli,52.45162,13.62454
L'Annam,52.45598,13.62506
Die Spindel,52.45363,13.62538
Kodama,52.44928,13.62426
Eis Dadalt,52.45324,13.62473
Eiscafe Klatsch,52.44991,13.62494
Pane Vino,52.45008,13.62496
Muggelsee Terrassen,52.42639,13.62916
Seerestaurant,52.42613,13.64023
Wendenturm,52.42613,13.64023
Windrose,52.44842,13.61015
Cafeteria im Krankenhaus Köpenick,52.44002,13.59428
Maxes Veranstaltungslokal Cöpenick,52.43325,13.59566
Chartina Lokal,52.43976,13.59405
Asia Park,52.4351,13.59605
Hausmannskost Köpenick,52.44041,13.60144
Gaststatte zur Glocke,52.45108,13.62564
Goldmanns Feine Kost,52.45576,13.62614
Hotel-Pension Mendau,52.45616,13.61154
Thüringer Ritter,52.45649,13.62513
Bölsche Imbiss,52.45659,13.62514
Tunneleck,52.5285,13.27167
Il Ducato,52.53538,13.27114
By Ottoman,52.53637,13.27054
Burger City,52.53641,13.26867
Call A Pizza,52.53689,13.28648
Centro Italia,52.52128,13.28563
Weinlounge,52.536057,13.273315
Plattform,52.53111,13.28198
Raj Mahaal,52.53605,13.27494
Technocampus Berlin,52.534398,13.279121
Dioklecian,52.53605,13.27494
Manous Schlemmerbude,52.53707,13.27533
Stari Most,52.53742,13.28581
Alte Forno,52.53631,13.27213
Gujrat Palace Restaurant,52.53711,13.26856
Kutschi Eck GmbH&Co.Kg,52.53528,13.27
Coffee Fellows,52.53547,13.2684
Delizie da Vito,52.53695,13.26704
M26,52.53538,13.27114
Siemensstuben,52.53771,13.26618
La Pausa,52.53686,13.27084
Argentinisches Steakhaus Nonnendamm,52.53697,13.26614
Voßia Trattoria,52.53711,13.26856
Conti̇ Grillhaus,52.53637,13.27054
Musikcafe Hai Life,52.53692,13.26827
Restaurant Stammhaus,52.53609,13.2655
Adria Grill,52.5364,13.26899
Burgerzimmer,52.53641,13.26867
Butcher's Burger,52.53685,13.27103
Berliner Rouladenhaus,52.53643,13.26769
Goebel Bistro Berlin,52.53797,13.28018
Ile de Bali,52.53705,13.26641
Da Vito,52.53705,13.26641
Halem Grill,52.53742,13.28581
Piazza Italia Siemensstadt,52.53711,13.26856
Nobbis Feine Suppen,52.53761,13.26467
Thien Thai-Bistro,52.53626,13.2724
Restaurant Bibi,52.53689,13.28648
Royal Asia,52.53705,13.26641
Pizza Pasta da Matteo,52.52057,13.26753
Anno Domini,52.51853,13.28989
Sommergarten am Wasserturm,52.54358,13.29071
Cedre Blanc,52.51734,13.29391
Tamarind,52.51707,13.28106
Lotti & August - Cafe,52.51382,13.27879
Eis Emporio,52.52085,13.25569
SUBWAY,52.53982,13.2501
Domino's Pizza,52.51827,13.27765
Grosse Orangerie Schloss Charlottenburg,52.5199,13.29304
Call A Pizza,52.51469,13.2876
Mischau,52.52774,13.24351
Merz Catering,52.52708,13.24669
Westend Grill,52.51593,13.26065
China Pfanne,52.51892,13.28575
Cordoba,52.51762,13.29002
Ristorante Dante,52.52617,13.29782
Imbiss König,52.51832,13.28709
Kleine Orangerie,52.51993,13.29356
Cafe am Belvedere,52.52816,13.29734
Peppery Bistro,52.5183,13.28198
Rigpa,52.51715,13.27924
Pizza Asia Sushi Food Berlin,52.51672,13.28608
El Greco,52.52894,13.29697
Markus Assemacher -Teichterrasse,52.54282,13.273637
New Asia Food,52.51658,13.29099
Zur Linde,52.51682,13.28755
Restaurante Masha,52.5359,13.29994
Trattoria fra Diavoli,52.51787,13.29317
Kasik-la,52.51911,13.28897
Mama Leone,52.5259,13.30055
Ajdari Ajdar Steakhouse,52.51762,13.29002
Oez Kebap,52.51832,13.28709
Karagiosis,52.51836,13.29273
LOTUS Lounge,52.51715,13.27924
Pizza Coach,52.51901,13.28899
